id,name,created_at,updated_at
1,Lahore,2025-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00
2,Karachi,2025-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00
3,Islamabad,2025-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00
4,Rawalpindi,2025-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00
5,Faisalabad,2025-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00
6,Multan,2025-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00
7,Gujranwala,2025-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00
8,Peshawar,2025-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00
9,Quetta,2025-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00
10,Sialkot,2025-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00
